frame,shoulder_angle,shoulder_distance,shoulder_ratio,right_ear_angle,right_ear_distance,left_ear_angle,left_ear_distance,right_nose_eye_angle,right_nose_eye_distance,left_nose_eye_angle,left_nose_eye_distance,nose_angle,nose_distance,eyes_angle,eyes_distance
openpose/output2/Trial 1_000000063446_keypoints.json,-115.52109323858349,95.508030667583,1.3203739645547947,-1,-1,102.3953302665225,64.25172200027018,-1,-1,116.4959129963302,78.94041249575531,-101.53318265094669,97.99664266187891,-1,-1
openpose/output2/Trial 1_000000055588_keypoints.json,-134.14345628451426,92.80540735323568,1.234598027489647,-1,-1,70.86758243381841,41.461164503665294,-1,-1,90.04092387947311,49.002012499488174,-114.89952434316582,121.03224895869697,-1,-1
openpose/output2/Trial 1_000000055604_keypoints.json,-157.9115565890203,67.75922222103789,1.1052831532249412,-1,-1,70.90038867584106,41.51749088035064,-1,-1,90.0770794775089,49.060044394598805,-114.64150575437888,131.48914994781896,-1,-1
openpose/output2/Trial 1_000000058223_keypoints.json,-145.5422677653333,83.19751996904716,0.9584818735888078,-1,-1,96.35086910541678,35.55519734159831,-1,-1,126.86779429371198,49.03240003303933,-86.06132180888359,113.87595941637547,-1,-1
openpose/output2/Trial 1_000000058197_keypoints.json,-151.79774564126197,91.1623514615546,0.9921278269088522,-1,-1,109.93568756817281,45.83459531838367,-1,-1,123.10137430010863,53.79932885269109,-88.01320598650075,111.71315699146628,-1,-1
openpose/output2/Trial 1_000000058217_keypoints.json,-152.33658982752698,92.87783784089729,0.926140318358943,-1,-1,104.77453442780545,38.41719430151029,-1,-1,125.58616965012567,50.545886400378805,-84.98169755451778,112.12479604886695,-1,-1
openpose/output2/Trial 1_000000055528_keypoints.json,-172.10424212732644,57.36282037173559,1.2419283926096756,-1,-1,76.61324624742065,50.366486129171186,-1,-1,93.63029646642828,60.86713678989673,-116.17646605063595,124.49639506427492,-1,-1
openpose/output2/Trial 1_000000063404_keypoints.json,-120.3033181312969,81.63857853368093,1.0588754530090023,-1,-1,102.06123691707812,66.01836673229649,-1,-1,114.6678504871084,79.78057538649365,-101.29327836020927,99.85645674667212,-1,-1
openpose/output2/Trial 1_000000058188_keypoints.json,-154.46745922541888,95.54928246721688,0.9535316174248354,-1,-1,113.98568869472341,38.61666386419205,-1,-1,130.16771268727106,48.718877922218155,-91.95271498841035,113.75005596482137,-1,-1
openpose/output2/Trial 1_000000058264_keypoints.json,-161.57401466423306,92.98298100190163,1.2381321807950498,-1,-1,116.50742805071513,30.682445877080898,-1,-1,121.39841239089334,41.32548821248212,-84.97814055306762,112.09127648929683,-1,-1
openpose/output2/Trial 1_000000058055_keypoints.json,-157.92910915537647,88.75499704805357,0.9382748196713261,-1,-1,93.7129342745939,60.857738875183344,-1,-1,107.4407136561496,71.87737598159798,-91.82810146002339,123.475844965726,-1,-1
openpose/output2/Trial 1_000000058295_keypoints.json,-151.27110820725517,93.78450746791816,1.1241436367720874,-1,-1,116.57220680698971,39.3896793716324,-1,-1,131.73346852824653,49.948444189984556,-86.0589995693713,113.95446217239581,-1,-1
openpose/output2/Trial 1_000000058216_keypoints.json,-152.31277655591813,92.87098186731967,0.9257010315417462,-1,-1,104.8192953187561,38.54614866624163,-1,-1,125.58330308322171,50.65597087214893,-85.05258038612783,114.07501367082975,-1,-1
openpose/output2/Trial 1_000000055603_keypoints.json,-155.54002298496883,71.02878160295298,1.0355686733982656,-1,-1,70.90199277986565,41.508622441608495,-1,-1,90.07826808652035,49.04704576220674,-114.23429098676561,128.91355643996485,-1,-1
openpose/output2/Trial 1_000000064151_keypoints.json,-133.88880743282604,70.70063935354482,1.0423766518970334,-1,-1,90.08294890962101,46.97004922288236,-1,-1,111.80805586119524,52.826610160031976,-105.4099712084768,117.96078765844173,-1,-1
openpose/output2/Trial 1_000000058258_keypoints.json,-157.44290295481838,87.06897532416474,1.3120907245185773,-1,-1,129.1279190740774,40.39116252350255,-1,-1,134.96755343127205,49.94578839101448,-84.86489010026567,110.18423484328426,-1,-1
openpose/output2/Trial 1_000000058210_keypoints.json,-146.35025294902428,84.73519090673014,0.9518499154897888,-1,-1,109.20156324187298,47.67212436004923,-1,-1,122.62442071255887,58.160390232528556,-84.10805112256101,114.23949853268797,-1,-1
